,0,1
TINAGL1,1.0,0.0
HCRTR1,0.0,1.0
PEF1,1.0,0.0
COL16A1,0.0,1.0
SPOCD1,1.0,0.0
AL136115.1,1.0,0.0
PTP4A2,0.0,1.0
KHDRBS1,1.0,0.0
TMEM39B,1.0,0.0
KPNA6,0.0,1.0
TXLNA,0.0,1.0
CCDC28B,0.0,1.0
IQCC,0.0,1.0
DCDC2B,1.0,0.0
TMEM234,1.0,0.0
EIF3I,0.0,1.0
FAM167B,0.0,1.0
LCK,1.0,0.0
HDAC1,1.0,0.0
MARCKSL1,1.0,0.0
TSSK3,1.0,0.0
FAM229A,1.0,0.0
BSDC1,0.0,1.0
ZBTB8B,1.0,0.0
ZBTB8A,0.0,1.0
ZBTB8OS,1.0,0.0
RBBP4,1.0,0.0
SYNC,1.0,0.0
KIAA1522,1.0,0.0
YARS,0.0,1.0
S100PBP,1.0,0.0
FNDC5,0.0,1.0
HPCA,1.0,0.0
TMEM54,1.0,0.0
RNF19B,0.0,1.0
AK2,1.0,0.0
TRIM62,1.0,0.0
ZNF362,0.0,1.0
AL513327.1,1.0,0.0
PHC2,1.0,0.0
ZSCAN20,0.0,1.0
CSMD2,0.0,1.0
C1orf94,0.0,1.0
GJB5,0.0,1.0
GJB4,1.0,0.0
GJB3,1.0,0.0
SMIM12,0.0,1.0
GJA4,0.0,1.0
DLGAP3,1.0,0.0
ZMYM6,1.0,0.0
ZMYM1,1.0,0.0
SFPQ,1.0,0.0
ZMYM4,1.0,0.0
ZMYM4-AS1,0.0,1.0
KIAA0319L,0.0,1.0
NCDN,1.0,0.0
TFAP2E,0.0,1.0
PSMB2,1.0,0.0
C1orf216,1.0,0.0
CLSPN,0.0,1.0
AGO4,1.0,0.0
AGO1,0.0,1.0
AGO3,1.0,0.0
TEKT2,0.0,1.0
ADPRHL2,0.0,1.0
COL8A2,1.0,0.0
TRAPPC3,1.0,0.0
MAP7D1,1.0,0.0
THRAP3,1.0,0.0
SH3D21,0.0,1.0
EVA1B,0.0,1.0
STK40,0.0,1.0
LSM10,1.0,0.0
OSCP1,1.0,0.0
MRPS15,1.0,0.0
CSF3R,1.0,0.0
GRIK3,0.0,1.0
LINC01137,0.0,1.0
ZC3H12A,1.0,0.0
MEAF6,0.0,1.0
SNIP1,0.0,1.0
DNALI1,1.0,0.0
GNL2,1.0,0.0
RSPO1,0.0,1.0
C1orf109,0.0,1.0
CDCA8,0.0,1.0
EPHA10,1.0,0.0
MANEAL,0.0,1.0
YRDC,1.0,0.0
C1orf122,1.0,0.0
MTF1,1.0,0.0
INPP5B,1.0,0.0
SF3A3,1.0,0.0
FHL3,1.0,0.0
POU3F1,0.0,1.0
RRAGC,1.0,0.0
MYCBP,0.0,1.0
RHBDL2,1.0,0.0
