,0,1
TINAGL1,1.0,0.0
HCRTR1,1.0,0.0
PEF1,1.0,0.0
COL16A1,1.0,0.0
SPOCD1,1.0,0.0
AL136115.1,1.0,0.0
PTP4A2,1.0,0.0
KHDRBS1,1.0,0.0
TMEM39B,1.0,0.0
KPNA6,1.0,0.0
TXLNA,1.0,0.0
CCDC28B,1.0,0.0
IQCC,1.0,0.0
DCDC2B,1.0,0.0
TMEM234,1.0,0.0
EIF3I,1.0,0.0
FAM167B,1.0,0.0
LCK,1.0,0.0
HDAC1,1.0,0.0
MARCKSL1,1.0,0.0
TSSK3,1.0,0.0
FAM229A,1.0,0.0
BSDC1,0.0,1.0
ZBTB8B,1.0,0.0
ZBTB8A,1.0,0.0
ZBTB8OS,1.0,0.0
RBBP4,1.0,0.0
SYNC,1.0,0.0
KIAA1522,1.0,0.0
YARS,1.0,0.0
S100PBP,1.0,0.0
FNDC5,1.0,0.0
HPCA,1.0,0.0
TMEM54,1.0,0.0
RNF19B,1.0,0.0
AK2,1.0,0.0
TRIM62,1.0,0.0
ZNF362,1.0,0.0
AL513327.1,1.0,0.0
PHC2,1.0,0.0
ZSCAN20,1.0,0.0
CSMD2,1.0,0.0
C1orf94,1.0,0.0
GJB5,1.0,0.0
GJB4,1.0,0.0
GJB3,1.0,0.0
SMIM12,1.0,0.0
GJA4,1.0,0.0
DLGAP3,1.0,0.0
ZMYM6,1.0,0.0
ZMYM1,1.0,0.0
SFPQ,1.0,0.0
ZMYM4,1.0,0.0
ZMYM4-AS1,0.0,1.0
KIAA0319L,1.0,0.0
NCDN,1.0,0.0
TFAP2E,1.0,0.0
PSMB2,1.0,0.0
C1orf216,1.0,0.0
CLSPN,1.0,0.0
AGO4,0.0,1.0
AGO1,1.0,0.0
AGO3,1.0,0.0
TEKT2,1.0,0.0
ADPRHL2,1.0,0.0
COL8A2,1.0,0.0
TRAPPC3,1.0,0.0
MAP7D1,1.0,0.0
THRAP3,1.0,0.0
SH3D21,1.0,0.0
EVA1B,1.0,0.0
STK40,1.0,0.0
LSM10,1.0,0.0
OSCP1,1.0,0.0
MRPS15,1.0,0.0
CSF3R,1.0,0.0
GRIK3,0.0,1.0
LINC01137,1.0,0.0
ZC3H12A,1.0,0.0
MEAF6,1.0,0.0
SNIP1,1.0,0.0
DNALI1,1.0,0.0
GNL2,1.0,0.0
RSPO1,1.0,0.0
C1orf109,1.0,0.0
CDCA8,1.0,0.0
EPHA10,1.0,0.0
MANEAL,1.0,0.0
YRDC,1.0,0.0
C1orf122,1.0,0.0
MTF1,0.0,1.0
INPP5B,1.0,0.0
SF3A3,0.0,1.0
FHL3,1.0,0.0
POU3F1,0.0,1.0
RRAGC,1.0,0.0
MYCBP,1.0,0.0
RHBDL2,1.0,0.0
AKIRIN1,1.0,0.0
NDUFS5,1.0,0.0
MACF1,1.0,0.0
BMP8A,1.0,0.0
PABPC4,1.0,0.0
HEYL,1.0,0.0
PPIE,1.0,0.0
OXCT2,1.0,0.0
BMP8B,1.0,0.0
TRIT1,1.0,0.0
MYCL,1.0,0.0
MFSD2A,1.0,0.0
CAP1,1.0,0.0
PPT1,1.0,0.0
RLF,1.0,0.0
TMCO2,0.0,1.0
ZMPSTE24,1.0,0.0
COL9A2,1.0,0.0
SMAP2,1.0,0.0
ZFP69B,1.0,0.0
ZFP69,1.0,0.0
EXO5,1.0,0.0
ZNF684,1.0,0.0
RIMS3,1.0,0.0
NFYC-AS1,1.0,0.0
NFYC,1.0,0.0
KCNQ4,1.0,0.0
CITED4,1.0,0.0
CTPS1,1.0,0.0
SLFNL1,1.0,0.0
SCMH1,1.0,0.0
FOXO6,0.0,1.0
EDN2,1.0,0.0
HIVEP3,1.0,0.0
GUCA2B,1.0,0.0
GUCA2A,1.0,0.0
FOXJ3,1.0,0.0
RIMKLA,1.0,0.0
ZMYND12,1.0,0.0
PPCS,1.0,0.0
CCDC30,1.0,0.0
PPIH,1.0,0.0
YBX1,1.0,0.0
CLDN19,0.0,1.0
C1orf50,1.0,0.0
ERMAP,0.0,1.0
ZNF691,1.0,0.0
SLC2A1,1.0,0.0
SLC2A1-AS1,1.0,0.0
FAM183A,1.0,0.0
EBNA1BP2,1.0,0.0
TMEM125,1.0,0.0
C1orf210,1.0,0.0
TIE1,1.0,0.0
MPL,1.0,0.0
CDC20,1.0,0.0
ELOVL1,1.0,0.0
MED8,1.0,0.0
SZT2,1.0,0.0
SZT2-AS1,0.0,1.0
HYI,1.0,0.0
PTPRF,1.0,0.0
KDM4A,1.0,0.0
KDM4A-AS1,1.0,0.0
ST3GAL3,1.0,0.0
ARTN,1.0,0.0
IPO13,1.0,0.0
DPH2,0.0,1.0
ATP6V0B,1.0,0.0
B4GALT2,1.0,0.0
CCDC24,1.0,0.0
SLC6A9,1.0,0.0
KLF17,1.0,0.0
DMAP1,1.0,0.0
ERI3,1.0,0.0
RNF220,1.0,0.0
TMEM53,1.0,0.0
KIF2C,1.0,0.0
RPS8,1.0,0.0
BEST4,1.0,0.0
PLK3,1.0,0.0
TCTEX1D4,1.0,0.0
BTBD19,1.0,0.0
PTCH2,1.0,0.0
EIF2B3,1.0,0.0
HECTD3,1.0,0.0
UROD,0.0,1.0
ZSWIM5,1.0,0.0
HPDL,0.0,1.0
MUTYH,1.0,0.0
TOE1,0.0,1.0
TESK2,1.0,0.0
MMACHC,1.0,0.0
PRDX1,1.0,0.0
AHCYL1,1.0,0.0
STRIP1,1.0,0.0
ALX3,1.0,0.0
SLC6A17,0.0,1.0
KCNC4,1.0,0.0
RBM15,1.0,0.0
SLC16A4,1.0,0.0
LAMTOR5,0.0,1.0
PROK1,1.0,0.0
CD53,1.0,0.0
LRIF1,1.0,0.0
DRAM2,1.0,0.0
CEPT1,1.0,0.0
DENND2D,0.0,1.0
CHI3L2,0.0,1.0
PIFO,1.0,0.0
OVGP1,1.0,0.0
WDR77,1.0,0.0
C1orf162,1.0,0.0
ADORA3,1.0,0.0
LINC01160,0.0,1.0
RAP1A,1.0,0.0
DDX20,1.0,0.0
KCND3,1.0,0.0
CAMK1G,1.0,0.0
LAMB3,1.0,0.0
G0S2,1.0,0.0
HSD11B1,1.0,0.0
TRAF3IP3,1.0,0.0
C1orf74,1.0,0.0
IRF6,0.0,1.0
SYT14,1.0,0.0
SERTAD4-AS1,1.0,0.0
SERTAD4,1.0,0.0
HHAT,1.0,0.0
KCNH1,1.0,0.0
RCOR3,1.0,0.0
TRAF5,1.0,0.0
LINC00467,1.0,0.0
RD3,1.0,0.0
SLC30A1,1.0,0.0
AL356310.1,1.0,0.0
NEK2,1.0,0.0
LPGAT1,0.0,1.0
INTS7,1.0,0.0
DTL,1.0,0.0
PPP2R5A,1.0,0.0
TMEM206,1.0,0.0
NENF,1.0,0.0
ATF3,1.0,0.0
FAM71A,1.0,0.0
BATF3,1.0,0.0
NSL1,1.0,0.0
TATDN3,1.0,0.0
FLVCR1,1.0,0.0
VASH2,1.0,0.0
ANGEL2,1.0,0.0
RPS6KC1,1.0,0.0
PROX1,1.0,0.0
